,Parking,Positions,,,,,,,20F,or,40F,Front,Pose,,,,,,,20F,Rear,Pose,,,,,
SlotLabel,UnityX,UnityZ,Latitude,Longitude,WGS84_Easting,WGS84_Northing,,UnityX_20F,UnityZ_20F,Latitude_20F,Longitude_20F,WGS84_Easting_20F,WGS84_Northing_20F,,UnityX_20R,UnityZ_20R,Latitude_20R,Longitude_20R,WGS84_Easting_20R,WGS84_Northing_20R,,UnityX_45F,UnityZ_45F,Latitude_45F,Longitude_45F,WGS84_Easting_45F,WGS84_Northing_45F
TB1_00_33,368.41,-238.38,1.267631894,103.7921439,365618.5206,140142.9803,,368.41,-241.22,1.267609839,103.7921308,365617.0644,140140.5427,,368.41,-247.816,1.267558615,103.7921005,365613.6822,140134.8812,,368.41,-242.744,1.267598004,103.7921238,365616.2829,140139.2346
TB1_00_34,368.41,-244.939,1.267580958,103.7921137,365615.1574,140137.3506,,368.41,-247.779,1.267558902,103.7921006,365613.7012,140134.9129,,368.41,-254.375,1.267507678,103.7920703,365610.319,140129.2514,,368.41,-249.303,1.267547067,103.7920936,365612.9198,140133.6048
TB1_00_35,368.41,-251.497,1.267530028,103.7920835,365611.7948,140131.7217,,368.41,-254.337,1.267507973,103.7920704,365610.3385,140129.284,,368.41,-260.933,1.267456749,103.7920401,365606.9564,140123.6225,,368.41,-255.861,1.267496138,103.7920634,365609.5571,140127.9759
TB1_00_36,368.41,-258.027,1.267479317,103.7920534,365608.4465,140126.1168,,368.41,-260.867,1.267457262,103.7920404,365606.9902,140123.6791,,368.41,-267.463,1.267406037,103.79201,365603.6081,140118.0176,,368.41,-262.391,1.267445426,103.7920334,365606.2088,140122.371
TB1_00_37,368.41,-264.586,1.26742838,103.7920232,365605.0833,140120.487,,368.41,-267.426,1.267406325,103.7920102,365603.6271,140118.0494,,368.41,-274.022,1.2673551,103.7919798,365600.2449,140112.3878,,368.41,-268.95,1.267394489,103.7920032,365602.8456,140116.7413
TB1_00_38,368.41,-271.4,1.267375463,103.7919919,365601.5894,140114.6384,,368.41,-274.24,1.267353408,103.7919788,365600.1331,140112.2007,,368.41,-280.836,1.267302183,103.7919484,365596.751,140106.5392,,368.41,-275.764,1.267341572,103.7919718,365599.3517,140110.8926
TB1_00_39,368.41,-277.25,1.267330032,103.7919649,365598.5897,140109.6171,,368.41,-280.09,1.267307977,103.7919519,365597.1335,140107.1795,,368.41,-286.686,1.267256753,103.7919215,365593.7513,140101.518,,368.41,-281.614,1.267296141,103.7919448,365596.3521,140105.8714
TB1_11_1,328.26,-29.04,1.269443689,103.792798,365691.3994,140343.2498,,328.26,-31.88,1.269421634,103.792785,365689.9432,140340.8122,,328.26,-38.476,1.26937041,103.7927546,365686.561,140335.1507,,328.26,-33.404,1.269409798,103.7927779,365689.1617,140339.5041
TB1_11_2,328.26,-35.542,1.269393195,103.7927681,365688.0655,140337.669,,328.26,-38.382,1.26937114,103.792755,365686.6092,140335.2314,,328.26,-44.978,1.269319915,103.7927246,365683.2271,140329.5698,,328.26,-39.906,1.269359304,103.792748,365685.8278,140333.9233
TB1_11_3,328.26,-42.05,1.269342654,103.7927381,365684.7284,140332.083,,328.26,-44.89,1.269320599,103.792725,365683.2722,140329.6454,,328.26,-51.486,1.269269375,103.7926947,365679.89,140323.9838,,328.26,-46.414,1.269308763,103.792718,365682.4907,140328.3373
TB1_11_4,328.26,-48.609,1.269291717,103.7927079,365681.3652,140326.4532,,328.26,-51.449,1.269269662,103.7926948,365679.909,140324.0156,,328.26,-58.045,1.269218438,103.7926645,365676.5269,140318.3541,,328.26,-52.973,1.269257827,103.7926878,365679.1276,140322.7075
TB1_11_5,328.26,-55.139,1.269241006,103.7926779,365678.0169,140320.8484,,328.26,-57.979,1.26921895,103.7926648,365676.5607,140318.4107,,328.26,-64.575,1.269167726,103.7926344,365673.1786,140312.7492,,328.26,-59.503,1.269207115,103.7926578,365675.7793,140317.1026
TB1_11_6,328.26,-61.698,1.269190069,103.7926477,365674.6538,140315.2186,,328.26,-64.538,1.269168013,103.7926346,365673.1975,140312.7809,,328.26,-71.134,1.269116789,103.7926042,365669.8154,140307.1194,,328.26,-66.062,1.269156178,103.7926276,365672.4161,140311.4729
TB1_11_7,328.26,-68.22,1.269139419,103.7926176,365671.3096,140309.6206,,328.26,-71.06,1.269117364,103.7926045,365669.8533,140307.1829,,328.26,-77.656,1.26906614,103.7925742,365666.4712,140301.5214,,328.26,-72.584,1.269105529,103.7925975,365669.0719,140305.8748
TB1_11_8,328.26,-74.779,1.269088482,103.7925874,365667.9464,140303.9908,,328.26,-77.619,1.269066427,103.7925743,365666.4901,140301.5532,,328.26,-84.215,1.269015203,103.792544,365663.108,140295.8916,,328.26,-79.143,1.269054592,103.7925673,365665.7087,140300.2451
TB1_11_9,328.26,-81.309,1.269037771,103.7925574,365664.5981,140298.3859,,328.26,-84.149,1.269015715,103.7925443,365663.1418,140295.9483,,328.26,-90.745,1.268964491,103.7925139,365659.7597,140290.2868,,328.26,-85.673,1.26900388,103.7925373,365662.3604,140294.6402
TB1_11_10,328.26,-87.868,1.268986834,103.7925272,365661.2349,140292.7562,,328.26,-90.708,1.268964779,103.7925141,365659.7787,140290.3185,,328.26,-97.304,1.268913554,103.7924837,365656.3965,140284.657,,328.26,-92.232,1.268952943,103.7925071,365658.9972,140289.0104
TB1_11_11,328.26,-94.423,1.268935928,103.792497,365657.8738,140287.1298,,328.26,-97.263,1.268913873,103.7924839,365656.4175,140284.6922,,328.26,-103.859,1.268862649,103.7924535,365653.0354,140279.0306,,328.26,-98.787,1.268902037,103.7924769,365655.6361,140283.3841
TB1_11_12,328.26,-100.982,1.268884991,103.7924668,365654.5106,140281.5001,,328.26,-103.822,1.268862936,103.7924537,365653.0544,140279.0624,,328.26,-110.418,1.268811712,103.7924233,365649.6722,140273.4009,,328.26,-105.346,1.268851101,103.7924467,365652.2729,140277.7543
TB1_11_13,328.26,-107.512,1.26883428,103.7924367,365651.1623,140275.8952,,328.26,-110.352,1.268812224,103.7924236,365649.7061,140273.4575,,328.26,-116.948,1.268761,103.7923933,365646.3239,140267.796,,328.26,-111.876,1.268800389,103.7924166,365648.9246,140272.1494
TB1_11_14,328.26,-114.071,1.268783343,103.7924065,365647.7991,140270.2654,,328.26,-116.911,1.268761287,103.7923934,365646.3429,140267.8278,,328.26,-123.507,1.268710063,103.7923631,365642.9607,140262.1662,,328.26,-118.435,1.268749452,103.7923864,365645.5614,140266.5197
TB1_11_15,328.26,-120.593,1.268732693,103.7923765,365644.4549,140264.6674,,328.26,-123.433,1.268710638,103.7923634,365642.9987,140262.2297,,328.26,-130.029,1.268659414,103.792333,365639.6165,140256.5682,,328.26,-124.957,1.268698803,103.7923564,365642.2172,140260.9217
