Parking,,,,,,,,20F Front,,,,,,,20F Rear,,,,,,,45F Front,,,,,
SlotLabel,UnityX,UnityZ,Latitude,Longitude,WGS84_Easting,WGS84_Northing,,UnityX_20F,UnityZ_20F,Latitude_20F,Longitude_20F,WGS84_Easting_20F,WGS84_Northing_20F,,UnityX_20R,UnityZ_20R,Latitude_20R,Longitude_20R,WGS84_Easting_20R,WGS84_Northing_20R,,UnityX_45F,UnityZ_45F,Latitude_45F,Longitude_45F,WGS84_Easting_45F,WGS84_Northing_45F
TD1_00_31,368.41,-826.773,1.263062463,103.7894347,365316.8181,139637.9458,,368.41,-829.613,1.263040408,103.7894216,365315.3618,139635.5081,,368.41,-836.209,1.262989184,103.7893912,365311.9797,139629.8466,,368.41,-831.137,1.263028573,103.7894146,365314.5804,139634.2
TD1_00_32,368.41,-833.332,1.263011526,103.7894045,365313.4549,139632.316,,368.41,-836.172,1.262989471,103.7893914,365311.9987,139629.8784,,368.41,-842.768,1.262938247,103.789361,365308.6165,139624.2168,,368.41,-837.696,1.262977636,103.7893844,365311.2172,139628.5703
TD1_00_33,368.41,-839.862,1.262960815,103.7893744,365310.1066,139626.7111,,368.41,-842.702,1.262938759,103.7893613,365308.6504,139624.2735,,368.41,-849.298,1.262887535,103.7893309,365305.2682,139618.6119,,368.41,-844.226,1.262926924,103.7893543,365307.8689,139622.9654
TD1_00_34,368.41,-846.421,1.262909878,103.7893442,365306.7434,139621.0813,,368.41,-849.261,1.262887822,103.7893311,365305.2872,139618.6437,,368.41,-855.857,1.262836598,103.7893007,365301.9051,139612.9821,,368.41,-850.785,1.262875987,103.7893241,365304.5058,139617.3356
TD1_00_35,368.41,-852.979,1.262858949,103.789314,365303.3808,139615.4524,,368.41,-855.819,1.262836893,103.7893009,365301.9246,139613.0148,,368.41,-862.415,1.262785669,103.7892705,365298.5424,139607.3532,,368.41,-857.343,1.262825058,103.7892939,365301.1431,139611.7067
TD1_00_36,368.41,-859.509,1.262808237,103.7892839,365300.0325,139609.8475,,368.41,-862.349,1.262786182,103.7892708,365298.5763,139607.4099,,368.41,-868.945,1.262734957,103.7892405,365295.1941,139601.7483,,368.41,-863.873,1.262774346,103.7892638,365297.7948,139606.1018
TD1_00_37,368.41,-866.068,1.2627573,103.7892537,365296.6693,139604.2177,,368.41,-868.908,1.262735245,103.7892406,365295.2131,139601.7801,,368.41,-875.504,1.26268402,103.7892103,365291.8309,139596.1185,,368.41,-870.432,1.262723409,103.7892336,365294.4316,139600.472
TD1_00_38,368.41,-872.882,1.262704383,103.7892223,365293.1754,139598.3691,,368.41,-875.722,1.262682328,103.7892093,365291.7192,139595.9314,,368.41,-882.318,1.262631103,103.7891789,365288.337,139590.2699,,368.41,-877.246,1.262670492,103.7892023,365290.9377,139594.6233
TD1_00_39,368.41,-878.882,1.262657787,103.7891947,365290.0989,139593.2191,,368.41,-881.722,1.262635732,103.7891816,365288.6426,139590.7814,,368.41,-888.318,1.262584508,103.7891513,365285.2605,139585.1199,,368.41,-883.246,1.262623896,103.7891746,365287.8612,139589.4734
TD1_11_1,328.26,-637.024,1.264722116,103.7899986,365379.6512,139821.4001,,328.26,-639.864,1.26470006,103.7899855,365378.195,139818.9624,,328.26,-646.46,1.264648836,103.7899551,365374.8128,139813.3009,,328.26,-641.388,1.264688225,103.7899785,365377.4135,139817.6543
TD1_11_2,328.26,-643.526,1.264671621,103.7899686,365376.3173,139815.8192,,328.26,-646.366,1.264649566,103.7899555,365374.861,139813.3816,,328.26,-652.962,1.264598342,103.7899252,365371.4789,139807.72,,328.26,-647.89,1.264637731,103.7899485,365374.0796,139812.0735
TD1_11_3,328.26,-650.034,1.264621081,103.7899387,365372.9802,139810.2332,,328.26,-652.874,1.264599025,103.7899256,365371.524,139807.7956,,328.26,-659.47,1.264547801,103.7898952,365368.1419,139802.134,,328.26,-654.398,1.26458719,103.7899186,365370.7426,139806.4875
TD1_11_4,328.26,-656.593,1.264570144,103.7899085,365369.6171,139804.6034,,328.26,-659.433,1.264548088,103.7898954,365368.1608,139802.1658,,328.26,-666.029,1.264496864,103.789865,365364.7787,139796.5043,,328.26,-660.957,1.264536253,103.7898884,365367.3794,139800.8577
