,Parking Positions,,,,,,,20F or 40F Front Pose,,,,,,,20F Rear Pose,,,,,,,45F Front Pose,,,,,
SlotLabel,UnityX,UnityZ,Latitude,Longitude,WGS84_Easting,WGS84_Northing,,UnityX_20F,UnityZ_20F,Latitude_20F,Longitude_20F,WGS84_Easting_20F,WGS84_Northing_20F,,UnityX_20R,UnityZ_20R,Latitude_20R,Longitude_20R,WGS84_Easting_20R,WGS84_Northing_20R,,UnityX_45F,UnityZ_45F,Latitude_45F,Longitude_45F,WGS84_Easting_45F,WGS84_Northing_45F
TB1_00_14,368.41,-114.021,1.26859766000154,103.792716525739,365682.286592617,140249.721111177,,368.41,-116.861,1.26857560470969,103.792703448916,365680.83036144,140247.28346126,,368.41,-123.457,1.26852438051754,103.792673077537,365677.448213299,140241.621933406,,368.41,-118.385,1.26856376940517,103.792696431636,365680.048919078,140245.975370239
TB1_00_15,368.41,-120.542999999999,1.26854701048968,103.792686495093,365678.942388502,140244.123099608,,368.41,-123.383,1.26852495519768,103.792673418271,365677.486157351,140241.685449638,,368.41,-129.978999999999,1.2684737310052,103.792643046893,365674.104009274,140236.023921663,,368.41,-124.907,1.26851311989308,103.792666400991,365676.704715003,140240.377358589
TB1_00_16,368.41,-127.102,1.26849607363741,103.792656294081,365675.579212422,140238.493329802,,368.41,-129.942,1.26847401834527,103.79264321726,365674.122981297,140236.05567978,,368.41,-136.538,1.26842279415245,103.792612845883,365670.740833289,140230.394151682,,368.41,-131.466,1.26846218304059,103.79263619998,365673.341538969,140234.747588702
TB1_00_17,368.41,-133.631999999999,1.2684453619973,103.792626226601,365672.230906373,140232.888451371,,368.41,-136.471999999999,1.26842330670502,103.792613149781,365670.774675277,140230.450801297,,368.41,-143.067999999999,1.26837208251185,103.792582778405,365667.392527336,140224.789273077,,368.41,-137.995999999999,1.26841147140026,103.792606132501,365669.993232965,140229.142710191
TB1_00_18,368.41,-140.190999999999,1.26839442514436,103.792596025592,365668.867730424,140227.258681323,,368.41,-143.030999999999,1.26837236985193,103.792582948772,365667.41149936,140224.821031195,,368.41,-149.626999999999,1.26832114565843,103.792552577397,365664.029351482,140219.159502853,,368.41,-144.554999999999,1.2683605345471,103.792575931492,365666.630057062,140223.512940061
TB1_00_19,368.41,-146.747999999999,1.26834350382298,103.792565833793,365665.505580059,140221.630627807,,368.41,-149.587999999999,1.26832144853041,103.792552756973,365664.049349022,140219.192977627,,368.41,-156.183999999999,1.26827022433657,103.792522385599,365660.667201207,140213.531449163,,368.41,-151.111999999999,1.26830961322549,103.792545739693,365663.267906734,140217.884886464
TB1_00_20,368.41,-153.307,1.26829256696937,103.792535632785,365662.142404238,140216.000857515,,368.41,-156.147,1.26827051167665,103.792522555966,365660.68617323,140213.563207282,,368.41,-162.743,1.26821928748247,103.792492184594,365657.304025484,140207.901678695,,368.41,-157.671,1.26825867637166,103.792515538687,365659.904730961,140212.255116091
TB1_00_21,368.41,-159.837,1.26824185532792,103.79250556531,365658.794098451,140210.3959786,,368.41,-162.677,1.26821980003506,103.792492488491,365657.337867472,140207.958328315,,368.41,-169.273,1.26816857584054,103.79246211712,365653.955719791,140202.296799606,,368.41,-164.201,1.26820796472999,103.792485471213,365656.556425217,140206.650237096
TB1_00_22,368.41,-166.396,1.26819091847364,103.792475364305,365655.430922766,140204.766208065,,368.41,-169.236,1.26816886318063,103.792462287487,365653.974691813,140202.328557727,,368.41,-175.832,1.26811763898578,103.792431916117,365650.592544198,140196.667028896,,368.41,-170.76,1.26815702787548,103.792455270209,365653.193249575,140201.02046648
TB1_00_23,368.41,-172.917999999999,1.26814026895911,103.792445333669,365652.086719168,140199.168195529,,368.41,-175.757999999999,1.26811821366595,103.792432256851,365650.630488244,140196.730545139,,368.41,-182.353999999999,1.26806698947077,103.792401885482,365647.248340696,140191.069016186,,368.41,-177.281999999999,1.26810637836073,103.792425239573,365649.849046022,140195.422453863
TB1_00_24,368.41,-179.476999999999,1.26808933210415,103.792415132666,365648.723543611,140193.538424751,,368.41,-182.316999999999,1.26806727681085,103.792402055849,365647.267312716,140191.100774308,,368.41,-188.912999999999,1.26801605261533,103.792371684481,365643.885165231,140185.439245233,,368.41,-183.840999999999,1.26805544150555,103.792395038571,365646.485870511,140189.792683005
TB1_00_25,368.41,-186.006999999999,1.26803862046137,103.792385065196,365645.375238087,140187.933545353,,368.41,-188.846999999999,1.26801656516792,103.792371988379,365643.919007219,140185.495894858,,368.41,-195.442999999999,1.26796534097206,103.792341617012,365640.5368598,140179.834365661,,368.41,-190.370999999999,1.26800472986254,103.792364971101,365643.137565024,140184.187803526
TB1_00_26,368.41,-192.565999999999,1.26798768360574,103.792354864196,365642.012062658,140182.303774332,,368.41,-195.405999999999,1.26796562831216,103.792341787379,365640.555831822,140179.866123784,,368.41,-202.001999999999,1.26791440411596,103.792311416014,365637.17368447,140174.204594465,,368.41,-196.929999999999,1.2679537930067,103.792334770102,365639.774389643,140178.558032424
TB1_00_27,368.41,-199.120999999999,1.26793677781358,103.792324681615,365638.650938332,140176.677436501,,368.41,-201.960999999999,1.26791472251984,103.792311604799,365637.194707522,140174.239785899,,368.41,-208.556999999999,1.26786349832331,103.792281233434,365633.812560233,140168.578256458,,368.41,-203.484999999999,1.26790288721431,103.792304587522,365636.413265359,140172.931694511
TB1_00_28,368.41,-205.679999999999,1.26788584095728,103.792294480617,365635.287763036,140171.047665236,,368.41,-208.519999999999,1.2678637856634,103.792281403801,365633.831532252,140168.610014583,,368.41,-215.115999999999,1.26781256146653,103.792251032438,365630.449385036,140162.948485018,,368.41,-210.043999999999,1.26785195035779,103.792274386524,365633.050090106,140167.301923166
TB1_00_29,368.41,-212.209999999999,1.26783512931316,103.792264413151,365631.939457772,140165.442785354,,368.41,-215.049999999999,1.26781307401914,103.792251336336,365630.483227014,140163.005134648,,368.41,-221.646,1.26776184982193,103.792220964974,365627.101079859,140157.343604962,,368.41,-216.573999999999,1.26780123871345,103.792244319059,365629.701784885,140161.697043203
TB1_00_30,368.41,-218.769,1.2677841924562,103.792234212155,365628.576282607,140159.813013847,,368.41,-221.609,1.26776213716203,103.792221135341,365627.120051882,140157.375363088,,368.41,-228.205,1.26771091296448,103.79219076398,365623.73790479,140151.71383328,,368.41,-223.133,1.26775030185626,103.792214118064,365626.338609763,140156.067271615
TB1_00_31,368.41,-225.290999999999,1.267733542939,103.792204181528,365625.232079529,140154.215000345,,368.41,-228.130999999999,1.26771148764468,103.792191104714,365623.77584883,140151.777349533,,368.41,-234.726999999999,1.2676602634468,103.792160733354,365620.393701808,140146.115819603,,368.41,-229.654999999999,1.26769965233883,103.792184087438,365622.994406728,140150.469258032
TB1_00_32,368.41,-231.849999999999,1.26768260608136,103.792173980534,365621.868904498,140148.585228595,,368.41,-234.689999999999,1.2676605507869,103.792160903721,365620.412673826,140146.147577731,,368.41,-241.285999999999,1.26760932658868,103.792130532363,365617.03052687,140140.486047678,,368.41,-236.213999999999,1.26764871548098,103.792153886445,365619.63123174,140144.839486201
TB1_00_33,368.41,-238.379999999999,1.26763189443591,103.792143913073,365618.520599489,140142.980348229,,368.41,-241.219999999999,1.2676098391413,103.79213083626,365617.064368848,140140.542697313,,368.41,-247.815999999999,1.26755861494274,103.792100464903,365613.682221959,140134.881167138,,368.41,-242.743999999999,1.2675980038353,103.792123818985,365616.282926779,140139.234605755
TB1_00_34,368.41,-244.939,1.2675809575776,103.792113712082,365615.157424589,140137.350576236,,368.41,-247.779,1.26755890228285,103.79210063527,365613.701193974,140134.912925267,,368.41,-254.375,1.26750767808396,103.792070263914,365610.319047148,140129.25139497,,368.41,-249.303,1.26754706697677,103.792093617995,365612.919751919,140133.604833681
TB1_00_35,368.41,-251.496999999999,1.26753002848491,103.792083515697,365611.794762509,140131.72166245,,368.41,-254.337,1.26750797319001,103.792070438885,365610.338531926,140129.284011428,,368.41,-260.933,1.26745674899078,103.79204006753,365606.956385164,140123.622481009,,368.41,-255.861,1.26749613788385,103.79206342161,365609.557089884,140127.975919814
TB1_00_36,368.41,-258.027,1.26747931683845,103.792053448239,365608.446457697,140126.116781721,,368.41,-260.866999999999,1.26745726154341,103.792040371428,365606.990227142,140123.679130647,,368.41,-267.462999999999,1.26740603734384,103.792010000074,365603.608080446,140118.017600106,,368.41,-262.390999999999,1.26744542623718,103.792033354153,365606.208785116,140122.371039004
TB1_00_37,368.41,-264.585999999999,1.26742837997914,103.792023247252,365605.083282992,140120.487009364,,368.41,-267.425999999999,1.26740632468396,103.792010170441,365603.627052466,140118.049358237,,368.41,-274.021999999999,1.26735510048405,103.791979799088,365600.244905836,140112.387827573,,368.41,-268.949999999999,1.26739448937764,103.792003153166,365602.845610453,140116.741266566
TB1_00_38,368.41,-271.4,1.26737546280249,103.791991872115,365601.589355263,140114.638363276,,368.41,-274.239999999999,1.26735340750715,103.791978795305,365600.133124764,140112.200712094,,368.41,-280.835999999999,1.2673021833069,103.791948423953,365596.750978202,140106.539181304,,368.41,-275.763999999999,1.26734157220076,103.791971778031,365599.35168277,140110.892620394
TB1_00_39,368.41,-277.25,1.26733003200041,103.791964935728,365598.589725553,140109.617145148,,368.41,-280.09,1.26730797670494,103.791951858918,365597.133495078,140107.179493919,,368.41,-286.686,1.26725675250438,103.791921487567,365593.751348574,140101.517963019,,368.41,-281.614,1.26729614139847,103.791944841644,365596.352053097,140105.871402194
TB1_11_1,328.26,-29.04,1.26944368899563,103.792798029619,365691.399401839,140343.249843911,,328.26,-31.88,1.26942163370419,103.792784952792,365689.94316997,140340.812194502,,328.26,-38.476,1.26937040951296,103.792754581401,365686.56102023,140335.150667832,,328.26,-33.4039999999999,1.26940979839988,103.792777935509,365689.161727243,140339.504103754
TB1_11_2,328.26,-35.542,1.26939319480364,103.792768091052,365688.065451292,140337.669000056,,328.26,-38.382,1.26937113951205,103.792755014226,365686.609219452,140335.231350596,,328.26,-44.978,1.2693199153205,103.792724642836,365683.227069773,140329.569823803,,328.26,-39.906,1.26935930420767,103.792747996943,365685.827776733,140333.92325982
TB1_11_3,328.26,-42.05,1.26934265401564,103.79273812486,365684.728424259,140332.083006118,,328.26,-44.89,1.2693205987239,103.792725048034,365683.272192449,140329.645356606,,328.26,-51.486,1.26926937453201,103.792694676646,365679.890042836,140323.983829692,,328.26,-46.414,1.26930876341944,103.792718030751,365682.490749749,140328.337265801
TB1_11_4,328.26,-48.609,1.26929171716396,103.792707923838,365681.365246652,140326.453237368,,328.26,-51.449,1.26926966187208,103.792694847013,365679.909014868,140324.015587803,,328.26,-58.045,1.26921843767985,103.792664475626,365676.526865324,140318.354060766,,328.26,-52.973,1.26925782656754,103.79268782973,365679.127572184,140322.70749697
TB1_11_5,328.26,-55.1389999999999,1.26924100552443,103.792677856349,365678.016939083,140320.848359988,,328.26,-57.979,1.26921895023241,103.792664779524,365676.560707328,140318.41071037,,328.26,-64.575,1.26916772603984,103.792634408138,365673.178557845,140312.749183212,,328.26,-59.503,1.26920711492779,103.792657762242,365675.779264655,140317.10261951
TB1_11_6,328.26,-61.698,1.26919006867208,103.79264765533,365674.653761606,140315.218590995,,328.26,-64.538,1.26916801337991,103.792634578505,365673.197529877,140312.780941325,,328.26,-71.134,1.269116789187,103.792604207121,365669.81538046,140307.119414044,,328.26,-66.062,1.26915617807521,103.792627561223,365672.416087224,140311.472850436
TB1_11_7,328.26,-68.22,1.26913941915947,103.792617624679,365671.309556225,140309.620579992,,328.26,-71.06,1.26911736386716,103.792604547855,365669.853324528,140307.18293027,,328.26,-77.656,1.26906613967391,103.792574176471,365666.471175175,140301.521402867,,328.26,-72.584,1.26910552856238,103.792597530573,365669.071881889,140305.874839353
TB1_11_8,328.26,-74.779,1.26908848230645,103.792587423662,365667.946378879,140303.990810756,,328.26,-77.619,1.26906642701399,103.792574346838,365666.490147208,140301.553160981,,328.26,-84.215,1.26901520282041,103.792543975456,365663.107997924,140295.891633456,,328.26,-79.143,1.26905459170913,103.792567329557,365665.708704585,140300.245070036
TB1_11_9,328.26,-81.309,1.26903777066559,103.792557356177,365664.598071569,140298.385932893,,328.26,-84.149,1.26901571537298,103.792544279354,365663.141839925,140295.948283065,,328.26,-90.745,1.26896449117906,103.792513907973,365659.759690708,140290.286755419,,328.26,-85.673,1.26900388006805,103.792537262073,365662.360397318,140294.640192092
TB1_11_10,328.26,-87.868,1.2689868338119,103.792527155162,365661.234894354,140292.756163414,,328.26,-90.708,1.26896477851914,103.79251407834,365659.778662739,140290.318513534,,328.26,-97.304,1.26891355432488,103.79248370696,365656.396513587,140284.656985765,,328.26,-92.232,1.26895294321413,103.792507061059,365658.997220142,140289.010422532
TB1_11_11,328.26,-94.423,1.26893592802166,103.792496972567,365657.873768232,140287.129827124,,328.26,-97.263,1.26891387272876,103.792483895745,365656.417536649,140284.69217719,,328.26,-103.859,1.26886264853416,103.792453524366,365653.035387561,140279.030649299,,328.26,-98.787,1.26890203742367,103.792476878464,365655.636094069,140283.38408616
TB1_11_12,328.26,-100.982,1.26888499116729,103.792466771555,365654.510591149,140281.500057401,,328.26,-103.822,1.26886293587425,103.792453694733,365653.054359593,140279.062407415,,328.26,-110.418,1.26881171167931,103.792423323355,365649.672210571,140273.400879402,,328.26,-105.346,1.26885110056908,103.792446677453,365652.272917029,140277.754316357
TB1_11_13,328.26,-107.512,1.26883427952509,103.792436704074,365651.162284099,140275.895179054,,328.26,-110.352,1.2688122242319,103.792423627253,365649.706052569,140273.457529015,,328.26,-116.948,1.26876100003663,103.792393255877,365646.323903613,140267.79600088,,328.26,-111.876,1.26880038892666,103.792416609973,365648.924610021,140272.149437929
TB1_11_14,328.26,-114.071,1.26878334267006,103.792406503064,365647.799107144,140270.265409089,,328.26,-116.911,1.26876128737672,103.792393426244,365646.342875643,140267.827758998,,328.26,-123.507,1.26871006318111,103.792363054869,365642.960726754,140262.16623074,,328.26,-118.435,1.2687494520714,103.792386408964,365645.561433109,140266.519667883
TB1_11_15,328.26,-120.592999999999,1.26873269315477,103.792376472423,365644.454902286,140264.66739712,,328.26,-123.432999999999,1.26871063786129,103.792363395603,365642.998670814,140262.229746976,,328.26,-130.029,1.26865941366535,103.792333024228,365639.616521989,140256.568218597,,328.26,-124.957,1.26869880255589,103.792356378323,365642.217228297,140260.921655833
TB1_11_16,328.26,-127.152,1.26868175629907,103.792346271415,365641.091725462,140259.037626912,,328.26,-129.992,1.26865970100544,103.792333194595,365639.635494016,140256.599976715,,328.26,-136.588,1.26860847680916,103.792302823222,365636.25334526,140250.938448214,,328.26,-131.516,1.26864786569996,103.792326177316,365638.854051515,140255.291885544
TB1_11_17,328.26,-133.682,1.26863104465553,103.792316203939,365637.743418674,140253.432748081,,328.26,-136.522,1.26860898936176,103.79230312712,365636.287187255,140250.995097832,,328.26,-143.118,1.26855776516514,103.792272755749,365632.905038565,140245.333569209,,328.26,-138.046,1.2685971540562,103.792296109842,365635.50574477,140249.687006633
TB1_11_18,328.26,-140.240999999999,1.26858010779915,103.792286002934,365634.380241981,140247.80297763,,328.26,-143.081,1.26855805250523,103.792272926116,365632.924010593,140245.365327329,,328.26,-149.677,1.26850682830827,103.792242554745,365629.541861965,140239.703798583,,328.26,-144.605,1.2685462171996,103.792265908837,365632.14256812,140244.057236101
TB1_11_19,328.26,-146.797999999999,1.26852918647433,103.792255811139,365631.01809087,140242.174923713,,328.26,-149.637999999999,1.26850713118027,103.792242734321,365629.561859511,140239.737273359,,328.26,-156.233999999999,1.26845590698297,103.792212362951,365626.179710949,140234.07574449,,328.26,-151.161999999999,1.26849529587456,103.792235717043,365628.780417051,140238.429182103
TB1_11_20,328.26,-153.357,1.26847824961728,103.792225610136,365627.654914307,140236.545153019,,328.26,-156.197,1.26845619432307,103.792212533318,365626.198682978,140234.107502612,,328.26,-162.793,1.26840497012544,103.79218216195,365622.816534481,140228.445973621,,328.26,-157.721,1.26844435901728,103.79220551604,365625.417240534,140232.799411328
TB1_11_21,328.26,-159.887,1.26842753797241,103.792195542665,365624.306607779,140230.940273704,,328.26,-162.727,1.26840548267806,103.792182465848,365622.850376476,140228.502623244,,328.26,-169.323,1.26835425848008,103.792152094481,365619.468228043,140222.841094132,,328.26,-164.251,1.26839364737219,103.79217544857,365622.068934051,140227.194531932
TB1_11_22,328.26,-166.446,1.26837660111469,103.792165341664,365620.943431347,140225.310502767,,328.26,-169.286,1.26835454582019,103.792152264848,365619.487200073,140222.872852255,,328.26,-175.882,1.26830332162188,103.792121893482,365616.105051709,140217.211323019,,328.26,-170.81,1.26834271051424,103.79214524757,365618.705757664,140221.564760914
TB1_11_23,328.26,-172.968,1.26832595159674,103.792135311032,365617.599227008,140219.712489831,,328.26,-175.808,1.26830389630209,103.792122234216,365616.142995763,140217.274839267,,328.26,-182.404,1.26825267210345,103.792091862851,365612.760847467,140211.61330991,,328.26,-177.332,1.26829206099607,103.792115216938,365615.361553366,140215.966747898
TB1_11_24,328.26,-179.527,1.26827501473835,103.792105110033,365614.23605071,140214.082718651,,328.26,-182.367,1.26825295944356,103.792092033218,365612.779819491,140211.645068034,,328.26,-188.963,1.26820173524457,103.792061661854,365609.397671261,140205.983538555,,328.26,-183.891,1.26824112413745,103.792085015941,365611.99837711,140210.336976637
TB1_11_25,328.26,-186.057,1.26822430309214,103.792075042567,365610.887744441,140208.477838853,,328.26,-188.897,1.2682022477972,103.792061965752,365609.431513252,140206.040188183,,328.26,-195.493,1.26815102359788,103.792031594389,365606.049365085,140200.378658582,,328.26,-190.421,1.26819041249102,103.792054948475,365608.650070887,140204.732096758
TB1_11_26,328.26,-192.615999999999,1.26817336623307,103.792044841571,365607.524568274,140202.84806743,,328.26,-195.456,1.268151310938,103.792031764756,365606.068337111,140200.410416708,,328.26,-202.052,1.26810008673834,103.792001393395,365602.686189008,140194.748886984,,328.26,-196.98,1.26813947563174,103.79202474748,365605.28689476,140199.102325254
TB1_11_27,328.26,-199.170999999999,1.26812246043747,103.792014658994,365604.163443198,140197.221729197,,328.26,-202.010999999999,1.26810040514225,103.79200158218,365602.707212064,140194.784078422,,328.26,-208.606999999999,1.26804918094226,103.79197121082,365599.325064028,140189.122548576,,328.26,-203.534999999999,1.26808856983591,103.791994564904,365601.92576973,140193.47598694
TB1_11_28,328.26,-205.73,1.26807152357774,103.791984458,365600.800267158,140191.591957531,,328.26,-208.57,1.26804946828237,103.791971381187,365599.344036054,140189.154306703,,328.26,-215.166,1.26799824408204,103.791941009828,365595.961888083,140183.492776734,,328.26,-210.094,1.26803763297596,103.791964363911,365598.562593732,140187.846215193
TB1_11_29,328.26,-212.26,1.2680208119302,103.791954390538,365597.45196115,140185.987077248,,328.26,-215.1,1.26799875663468,103.791941313725,365595.995730074,140183.549426368,,328.26,-221.696,1.26794753243402,103.791910942368,365592.61358217,140177.887896278,,328.26,-216.624,1.26798692132819,103.79193429645,365595.214287769,140182.24133483
TB1_11_30,328.26,-218.819,1.26796987506979,103.791924189547,365594.088785244,140180.357305339,,328.26,-221.659,1.26794781977414,103.791911112734,365592.632554194,140177.919654406,,328.26,-228.255,1.26789659557313,103.791880741378,365589.250406357,140172.258124193,,328.26,-223.183,1.26793598446757,103.791904095459,365591.851111903,140176.61156284
TB1_11_31,328.26,-225.340999999999,1.26791922554918,103.791894158924,365590.744581425,140174.759291437,,328.26,-228.180999999999,1.26789717025337,103.791881082112,365589.288350405,140172.321640452,,328.26,-234.777,1.26784594605203,103.791850710756,365585.906202632,140166.660110117,,328.26,-229.704999999999,1.26788533494673,103.791874064836,365588.506908128,140171.013548857
TB1_11_32,328.26,-231.899999999999,1.26786828868811,103.791863957934,365587.381405647,140169.129519285,,328.26,-234.739999999999,1.26784623339216,103.791850881123,365585.925174654,140166.691868247,,328.26,-241.335999999999,1.26779500919048,103.791820509769,365582.54302695,140161.03033779,,328.26,-236.263999999999,1.26783439808543,103.791843863848,365585.143732398,140165.383776624
TB1_11_33,328.26,-238.429999999999,1.26781757703923,103.791833890477,365584.033099902,140163.524638519,,328.26,-241.269999999999,1.26779552174314,103.791820813666,365582.576868937,140161.086987429,,328.26,-247.865999999999,1.26774429754112,103.791790442313,365579.194721294,140155.42545685,,328.26,-242.793999999999,1.26778368643633,103.791813796392,365581.79542669,140159.778895778
TB1_11_34,328.26,-244.989,1.26776664017749,103.79180368949,365580.669924252,140157.894866125,,328.26,-247.829,1.26774458488125,103.79179061268,365579.213693317,140155.457214981,,328.26,-254.425,1.2676933606789,103.791760241328,365575.831545745,140149.79568428,,328.26,-249.353,1.26773274957437,103.791783595406,365578.432251091,140154.149123302
TB1_11_35,328.26,-251.547,1.26771571108136,103.791773493109,365577.307261431,140152.265951936,,328.26,-254.387,1.26769365578498,103.791760416299,365575.851030525,140149.82830074,,328.26,-260.983,1.26764243158229,103.791730044948,365572.468883017,140144.166769917,,328.26,-255.911,1.26768182047802,103.791753399025,365575.06958831,140148.520209033
TB1_11_36,328.26,-258.077,1.26766499943148,103.791743425656,365573.958955878,140146.661070807,,328.26,-260.917,1.26764294413495,103.791730348846,365572.502725001,140144.223419559,,328.26,-267.513,1.26759171993193,103.791699977496,365569.120577557,140138.561888613,,328.26,-262.441,1.26763110882792,103.791723331572,365571.7212828,140142.915327823
TB1_11_37,328.26,-264.635999999999,1.26761406256874,103.791713224672,365570.595780428,140141.031298048,,328.26,-267.475999999999,1.26759200727206,103.791700147863,365569.139549578,140138.593646747,,328.26,-274.071999999999,1.2675407830687,103.791669776515,365565.7574022,140132.932115679,,328.26,-268.999999999999,1.26758017196495,103.79169313059,365568.358107393,140137.285554983
TB1_11_38,328.26,-271.45,1.26756114538851,103.79168184954,365567.101851922,140135.182651543,,328.26,-274.289999999999,1.26753909009169,103.791668772732,365565.645621102,140132.745000187,,328.26,-280.885999999999,1.26748786588798,103.791638401384,365562.263473794,140127.083468992,,328.26,-275.813999999999,1.26752725478449,103.791661755458,365564.864178936,140131.436908393
TB1_11_39,328.26,-277.3,1.26751571458337,103.791654913157,365564.10222155,140130.161433056,,328.26,-280.14,1.26749365928641,103.791641836349,365562.645990757,140127.723781653,,328.26,-286.736,1.2674424350824,103.791611465002,365559.263843505,140122.062250349,,328.26,-281.664,1.26748182397915,103.791634819076,365561.864548603,140126.415689834
TB2_00_1,316.5601,-29.04,1.26949791096128,103.792707754609,365681.35705872,140349.24905795,,316.5601,-31.88,1.2694758556694,103.792694677783,365679.900826756,140346.811408491,,316.5601,-38.476,1.26942463147717,103.792664306394,365676.518676796,140341.149881703,,316.5601,-33.4039999999999,1.26946402036486,103.7926876605,365679.119383976,140345.503317716
TB2_00_2,316.5601,-35.542,1.2694474167683,103.792677816044,365678.023107955,140343.668213979,,316.5601,-38.382,1.26942536147628,103.792664739218,365676.56687602,140341.230564469,,316.5601,-44.978,1.26937413728371,103.79263436783,365673.184726124,140335.569037559,,316.5601,-39.906,1.26941352617166,103.792657721936,365675.785433257,140339.922473665
