Filename,PSA_AIFO_Coordinates,,,,,,,,,,,
Format,2.1,,,,,,,,,,,
Modified on,25/09/24,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Slot Label, Raw x, Raw y, Slot Type, , 20F Front x, 20F Front y, , 20F Rear x, 20F Rear y, , 45F Front x, 45F Front y
TB2_11_3,365640.0611,140358.7669,1, ,365638.6048,140356.3293, ,365635.2227,140350.6677, ,365637.8234,140355.0212
TB2_11_4,365636.6979,140353.1372,1, ,365635.2417,140350.6995, ,365631.8595,140345.038, ,365634.4602,140349.3914
TB2_11_5,365633.3496,140347.5323,1, ,365631.8934,140345.0946, ,365628.5112,140339.4331, ,365631.1119,140343.7865
TB2_11_6,365629.9864,140341.9025,9, ,365628.5302,140339.4649, ,365625.148,140333.8033, ,365627.7487,140338.1568
TB2_11_7,365626.6422,140336.3045,9, ,365625.186,140333.8668, ,365621.8038,140328.2053, ,365624.4045,140332.5588
TB2_11_8,365623.279,140330.6747,9, ,365621.8228,140328.2371, ,365618.4406,140322.5755, ,365621.0413,140326.929
TB2_11_9,365619.9307,140325.0698,9, ,365618.4745,140322.6322, ,365615.0923,140316.9707, ,365617.693,140321.3241
TB2_11_10,365616.5675,140319.4401,9, ,365615.1113,140317.0024, ,365611.7292,140311.3409, ,365614.3299,140315.6943
TB2_11_11,365613.2064,140313.8137,9, ,365611.7502,140311.3761, ,365608.368,140305.7146, ,365610.9687,140310.068
TB2_11_12,365609.8432,140308.184,9, ,365608.387,140305.7463, ,365605.0048,140300.0848, ,365607.6056,140304.4382
TB2_11_13,365606.4949,140302.5791,9, ,365605.0387,140300.1414, ,365601.6565,140294.4799, ,365604.2572,140298.8333
TB2_11_14,365603.1317,140296.9493,9, ,365601.6755,140294.5117, ,365598.2934,140288.8501, ,365600.8941,140293.2036
TB2_11_15,365599.7875,140291.3513,9, ,365598.3313,140288.9137, ,365594.9492,140283.2521, ,365597.5499,140287.6056
TB2_11_16,365596.4244,140285.7215,9, ,365594.9681,140283.2839, ,365591.586,140277.6224, ,365594.1867,140281.9758
TB2_11_17,365593.0761,140280.1167,9, ,365591.6198,140277.679, ,365588.2377,140272.0175, ,365590.8384,140276.3709
TB2_11_18,365589.7129,140274.4869,9, ,365588.2566,140272.0492, ,365584.8745,140266.3877, ,365587.4752,140270.7411
TB2_11_19,365586.3507,140268.8588,9, ,365584.8945,140266.4212, ,365581.5123,140260.7596, ,365584.113,140265.1131
TB2_11_20,365582.9875,140263.2291,9, ,365581.5313,140260.7914, ,365578.1492,140255.1299, ,365580.7499,140259.4833
TB2_11_21,365579.6392,140257.6242,9, ,365578.183,140255.1865, ,365574.8009,140249.525, ,365577.4016,140253.8784
TB2_11_22,365576.2761,140251.9944,9, ,365574.8198,140249.5568, ,365571.4377,140243.8952, ,365574.0384,140248.2487
TB2_11_23,365572.9319,140246.3964,9, ,365571.4756,140243.9587, ,365568.0935,140238.2972, ,365570.6942,140242.6507
TB2_11_24,365569.5687,140240.7666,9, ,365568.1124,140238.329, ,365564.7303,140232.6674, ,365567.331,140237.0209
TB2_11_25,365566.2204,140235.1617,9, ,365564.7641,140232.7241, ,365561.382,140227.0626, ,365563.9827,140231.416
TB2_11_26,365562.8572,140229.532,9, ,365561.401,140227.0943, ,365558.0188,140221.4328, ,365560.6195,140225.7862
TB2_11_27,365559.4961,140223.9056,9, ,365558.0398,140221.468, ,365554.6577,140215.8064, ,365557.2584,140220.1599
TB2_11_28,365556.1329,140218.2759,9, ,365554.6767,140215.8382, ,365551.2945,140210.1767, ,365553.8952,140214.5301
TB2_11_29,365552.7846,140212.671,9, ,365551.3284,140210.2333, ,365547.9462,140204.5718, ,365550.5469,140208.9252
TB2_11_30,365549.4214,140207.0412,9, ,365547.9652,140204.6036, ,365544.583,140198.942, ,365547.1837,140203.2955
TB2_11_31,365546.0772,140201.4432,9, ,365544.621,140199.0055, ,365541.2388,140193.344, ,365543.8395,140197.6974
